Sample Number,PolicyStartDate,AMI_monthly_premium,AMI_yearly_premium,AMI_agreed_value_minimum,AMI_agreed_value_maximum,AMI_Error_code,AMI_selected_car_variant,AMI_selected_address,AMI_agreed_value,AMI_No_claims_bonus
10001,2024-01-05,44.92,504.32,2513,4020,No Error,"Nissan Bluebird 1999 Nissan, Bluebird, 1999, SEDAN, Eprise, Automatic, Front Wheel Drive, 1838cc/1.8L, Petrol, 4dr","KOTUKU STREET, FRANKTON, HAMILTON 3204",3020.0,60%
10002,2024-01-05,54.24,608.74,3525,5640,No Error,"Toyota Corolla 2002 Toyota, Corolla, 2002, WAGON, Fielder, Automatic, Front Wheel Drive, 1794cc/1.8L, Petrol, 5dr","CORNWALL ROAD, RD 1, RAGLAN 3295",5480.0,60%
10003,2024-01-05,85.82,962.9,3825,6120,No Error,"Nissan Tiida 2005 Nissan, Tiida, 2005, HATCHBACK, 18G, Constantly variable, Front Wheel Drive, 1798cc/1.8L, Petrol, 5dr","HOBART DRIVE, SPOTSWOOD, NEW PLYMOUTH 4310",5400.0,40%
10004,2024-01-05,91.9,1031.07,14963,23940,No Error,"Toyota Hiace 2008 Toyota, Hiace, 2008, VAN, DX, Automatic, Rear Wheel Drive, 1990cc/2.0L, Petrol, 4dr","SEABROOK AVENUE, NEW LYNN, AUCKLAND 0600",19340.0,60%
10005,2024-01-05,-1,-1,5325,8520,Invalid Input Data Error: AgreedValue Too High,"Mazda Axela 2007 Mazda, Axela, 2007, SEDAN, 15C, Automatic, Front Wheel Drive, 1498cc/1.5L, Petrol, 4dr","123B STANCOMBE ROAD FLAT BUSH, AUCKLAND 2016",,nan
10006,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10338,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10008,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10009,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10010,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10579,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10012,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10923,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10014,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10015,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10016,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10017,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10018,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11860,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10020,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10021,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10022,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11090,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10024,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10025,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10026,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10027,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10028,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10200,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10030,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10031,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10032,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10834,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10034,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11427,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10535,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10037,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11466,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10669,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10613,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10041,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10042,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10043,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10044,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10045,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10046,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10007,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10048,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10049,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10050,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10051,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10052,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11544,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10336,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10055,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10036,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10057,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10058,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11547,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11167,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10061,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10062,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10063,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11267,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10065,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10958,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11292,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11421,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11431,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10070,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10071,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10072,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10073,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10074,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10075,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10076,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10064,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10078,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10079,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10080,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10081,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10082,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11907,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10084,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10085,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10493,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10087,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10088,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10089,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11159,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10091,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10092,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11613,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10094,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10095,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10096,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10102,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10351,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10099,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11231,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10101,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10054,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10103,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10104,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11420,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11741,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10107,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10108,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11911,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11462,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10111,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10112,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10113,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11251,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10115,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10116,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10117,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10769,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10119,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10120,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10121,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10122,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10123,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10124,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11526,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10126,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10127,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11834,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10129,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10917,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10432,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10132,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10133,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10841,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10135,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10136,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10137,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11447,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10139,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10518,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10141,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10142,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10143,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10144,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11660,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10146,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10389,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10148,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10972,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10150,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10151,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10152,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10153,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11244,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11203,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10156,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10157,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10158,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10138,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10160,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11258,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11742,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10489,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11328,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10165,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11942,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10167,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11836,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10169,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10059,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10171,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11172,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10173,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10174,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11559,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10176,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10177,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10178,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10179,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10180,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10181,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10559,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10183,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10184,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10185,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10186,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11337,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10738,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10662,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10190,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11146,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10192,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11056,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11614,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10195,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10196,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10197,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11953,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10199,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11324,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10201,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10202,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10203,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10423,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10205,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10206,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10207,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10208,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10209,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10210,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10211,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10212,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10213,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11340,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10565,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11780,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10217,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10218,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10627,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11575,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10221,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10222,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10791,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11889,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10225,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10226,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10227,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10228,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10229,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10230,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10231,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10232,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10233,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10467,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11600,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10236,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10237,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10506,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10239,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10240,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10060,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10242,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10243,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10244,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10245,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10246,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10948,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11980,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10249,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10915,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10251,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10252,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11612,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10254,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10255,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10256,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10257,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11041,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10259,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10281,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10261,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11769,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10263,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11367,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10265,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10812,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11934,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10268,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10269,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10270,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10271,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10272,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10273,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10274,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10275,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10702,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10299,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11184,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10279,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10280,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10333,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10777,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10283,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10284,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10285,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10286,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10287,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10288,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10289,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11929,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10291,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10292,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11628,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10503,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11031,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10296,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10297,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10298,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11805,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10300,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11998,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11364,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10303,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10304,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10773,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11006,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11519,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11274,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10309,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11603,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10311,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11654,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10039,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10314,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10315,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10316,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10317,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10318,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11305,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10320,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10321,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10322,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10323,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11819,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10325,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10533,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10327,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11194,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10329,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10330,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11262,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10471,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10542,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10554,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10984,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10862,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10337,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10161,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10166,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10340,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10341,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10799,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10883,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10470,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10345,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10346,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10347,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10348,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10349,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11255,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10066,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10352,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11615,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10354,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10355,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10356,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10357,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11937,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11311,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10360,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10361,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11047,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11639,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10364,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10365,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10366,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11866,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10368,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10867,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10370,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10371,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11536,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10373,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10374,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10067,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10093,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10377,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
11250,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10379,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
10380,2024-04-29,-1,-1,-1,-1,No Error,,,,nan
